,0
0,https://www.tensorflow.org/tutorials/images/cnn
1,https://towardsdatascience.com/building-a-convolutional-neural-network-cnn-in-keras-329fbbadc5f5
2,https://www.datacamp.com/community/tutorials/convolutional-neural-networks-python
3,https://anderfernandez.com/en/blog/how-to-create-convolutional-neural-network-keras/
4,https://deeplizard.com/learn/video/daovGOlMbT4
5,https://machinelearningmastery.com/tutorial-first-neural-network-python-keras/
6,https://machinelearningmastery.com/tensorflow-tutorial-deep-learning-with-tf-keras/
7,https://www.youtube.com/watch?v=WvoLTXIjBYU
8,https://vitalflux.com/keras-cnn-image-classification-example/
9,https://www.machinecurve.com/index.php/2019/09/17/how-to-create-a-cnn-classifier-with-keras/
10,https://www.pyimagesearch.com/2021/05/22/a-gentle-guide-to-training-your-first-cnn-with-keras-and-tensorflow/
11,https://www.mlq.ai/convolutional-neural-network-python-keras/
12,https://www.analyticsvidhya.com/blog/2021/06/building-a-convolutional-neural-network-using-tensorflow-keras/
13,https://elitedatascience.com/keras-tutorial-deep-learning-in-python
14,https://adventuresinmachinelearning.com/keras-tutorial-cnn-11-lines/
15,https://keras.io/examples/vision/mnist_convnet
16,https://pythonprogramming.net/convolutional-neural-network-deep-learning-python-tensorflow-keras/
17,https://www.udemy.com/course/cnn-for-computer-vision-with-keras-and-tensorflow-in-python/
18,https://www.kdnuggets.com/2019/07/convolutional-neural-networks-python-tutorial-tensorflow-keras.html
19,https://www.kaggle.com/amarjeet007/visualize-cnn-with-keras
20,https://www.pluralsight.com/guides/convolutional-neural-network-in-keras
21,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03635-x
22,https://github.com/sagar448/Keras-Convolutional-Neural-Network-Python
23,https://stackoverflow.com/questions/65170624/why-cnn-model-training-for-an-image-classification-task-with-keras-and-python-gi
24,https://www.ionos.de/digitalguide/websites/web-entwicklung/keras-tutorial/
25,https://www.tutorialspoint.com/cnn_for_computer_vision_with_keras_and_tensorflow_in_python/index.asp
26,https://colab.research.google.com/github/tensorflow/docs/blob/master/site/en/tutorials/images/cnn.ipynb
27,https://www.mt-ag.com/blog/ki-werkstatt/einstieg-in-convolutional-neuronale-netze-mit-keras/
28,https://pages.databricks.com/rs/094-YMS-629/images/Keras%20MNIST%20CNN.html
29,https://blog.pythian.com/image-classification-with-convolution-neural-networks-cnn-with-keras/
30,https://stackabuse.com/image-recognition-in-python-with-tensorflow-and-keras
31,https://sicara.ai/blog/hyperparameter-tuning-keras-tuner
32,https://itnext.io/up-and-running-with-keras-deep-learning-digit-classification-using-cnn-804777073e43
33,https://www.datatechnotes.com/2020/02/classification-example-with-keras-cnn.html
34,https://cv-tricks.com/keras/fine-tuning-tensorflow/
35,https://www.coursera.org/projects/image-classification-cnn-keras
36,https://www.researchgate.net/post/how_to_extract_Convolutional_Neural_network_Kernel_values_for_each_stage_from_Keras_model
37,https://datascience.stackexchange.com/questions/60126/data-reshaping-for-cnn-using-keras
38,https://statcompute.wordpress.com/2019/10/14/merge-mlp-and-cnn-in-keras/
39,https://becominghuman.ai/building-an-image-classifier-using-deep-learning-in-python-totally-from-a-beginners-perspective-be8dbaf22dd8
40,https://jaketae.github.io/study/cnn/
41,https://www.codeproject.com/Articles/5275261/Custom-AI-Face-Recognition-With-Keras-and-CNN
42,http://cyd.avisbnb.it/keras-tuner-with-cnn.html
43,https://www.geeksforgeeks.org/python-image-classification-using-keras/
44,https://www.learndatasci.com/tutorials/convolutional-neural-networks-image-classification/
45,https://rubikscode.net/2018/03/05/implementation-of-convolutional-neural-network-using-python-and-keras/
46,https://www.bmc.com/blogs/deep-learning-neural-network-tutorial-keras/
47,https://en.wikipedia.org/wiki/Keras
48,https://www.freecodecamp.org/news/how-to-build-your-first-neural-network-to-predict-house-prices-with-keras-f8db83049159/
49,https://stanford.edu/~shervine/blog/keras-how-to-generate-data-on-the-fly
50,https://divamgupta.com/image-segmentation/2019/06/06/deep-learning-semantic-segmentation-keras.html
51,https://analyticsindiamag.com/introduction-to-kgcnn-and-ragged-tensor/
52,http://gaja.manfredicampanella.it/keras-example.html
53,https://medium.datadriveninvestor.com/dual-input-cnn-with-keras-1e6d458cd979
54,https://www.kernix.com/article/a-toy-convolutional-neural-network-for-image-classification-with-keras/
55,http://umwy.studiobroma.it/keras-predict-classes.html
56,https://blog.goodaudience.com/introduction-to-1d-convolutional-neural-networks-in-keras-for-time-sequences-3a7ff801a2cf
57,http://govi.msctorino.it/keras-model-predict-example.html
58,http://afho.stefanie-bartel.de/prediction-using-cnn.html
59,http://meddygcare.co.uk/w1jxp/glx5kk7.php?qsrpi=convlstm2d-keras-example
60,https://energietisch-altenberg.de/1yb7i/cb4ew7z.php?hyfrk=how-to-train-vgg16-model
61,http://tfwl.locali-commerciali.it/keras-transformer-github.html
62,http://quau.lorenzoaiello.it/keras-prediction-interval.html
63,http://caodangktyduochanoi.edu.vn/biigu/5xq675f.php?xapfo=wide-convolutional-neural-network
64,http://wker.cavalcantiparfum.it/deep-learning-recommender-system-keras.html
65,http://cranesrus.com/cnn-python
66,http://pwie.kirikugiocoteca.it/unet-multiclass-segmentation-keras.html
67,http://scholarspublicschool.in/kythx/8wpz1ef.php?pqnen=perceptual-loss-keras-implementation
68,http://devitacharcuterie.it/keras-text-similarity
69,http://notaiogriffo.it/keras-quantile
70,http://greenlimo.it/keras-sum-tensorflow
