,id,degreeType,major,earlyCareerMedianPay,midCareerMedianPay,fiveToTenYearMedianPay,tenToTwentyYearMedianPay,twentyPlusYearMedianPay,percentHighMeaning,year,url,rank,tie
0,3940,Bachelors,Petroleum Engineering,93200,187300,146100.0,176000.0,198100.0,0.67,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Petroleum_Engineering/Salary,1,False
1,4484,Bachelors,Operations Research & Industrial Engineering,84800,170400,126300.0,170800.0,,0.28,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Operations_Research_%26_Industrial_Engineering/Salary,2,False
2,4485,Bachelors,Electrical Engineering & Computer Science (EECS),108500,159300,134000.0,150500.0,163000.0,0.46,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Electrical_Engineering_%26_Computer_Science_(EECS)/Salary,3,False
3,4486,Bachelors,Interaction Design,68300,155800,108400.0,155800.0,,0.55,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Interaction_Design/Salary,4,False
4,4487,Bachelors,Public Accounting,59800,147700,69800.0,89700.0,189700.0,0.47,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Public_Accounting/Salary,5,False
5,4488,Bachelors,Operations Research,83500,147400,110100.0,146400.0,,0.54,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Operations_Research/Salary,6,False
6,4489,Bachelors,Applied Economics and Management,66100,146400,100500.0,145700.0,,0.67,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Applied_Economics_and_Management/Salary,7,False
7,4490,Bachelors,Business Computing (BC),73000,143600,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Business_Computing_(BC)/Salary,8,False
8,4491,Bachelors,Actuarial Mathematics,64300,143400,103900.0,143500.0,,0.51,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Actuarial_Mathematics/Salary,9,False
9,4492,Bachelors,Electrical Power Engineering,76100,142600,99600.0,129000.0,157500.0,0.68,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Electrical_Power_Engineering/Salary,10,False
10,4493,Bachelors,Information & Computer Science,58600,140900,119800.0,126500.0,155100.0,0.62,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Information_%26_Computer_Science/Salary,11,False
11,4495,Bachelors,Aeronautics & Astronautics,77600,139600,96800.0,119500.0,,0.56,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Aeronautics_%26_Astronautics/Salary,12,False
12,4506,Bachelors,Systems Engineering,77700,139200,109500.0,129500.0,145300.0,0.53,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Systems_Engineering/Salary,13,False
13,4496,Bachelors,Econometrics,64200,139000,86600.0,123200.0,,0.35,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Econometrics/Salary,14,False
14,4497,Bachelors,Pharmacy,68600,138700,131800.0,137900.0,138700.0,0.78,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Pharmacy/Salary,15,False
15,4498,Bachelors,Aerospace Studies,55800,136600,67700.0,124900.0,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Aerospace_Studies/Salary,16,False
16,4499,Bachelors,Building Science,53800,135900,88000.0,134700.0,147900.0,0.53,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Building_Science/Salary,17,True
17,4500,Bachelors,Chemical Engineering,76900,135900,100200.0,124700.0,155000.0,0.55,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Chemical_Engineering/Salary,17,True
18,4501,Bachelors,Cognitive Science,68700,135200,101300.0,126400.0,172400.0,0.42,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Cognitive_Science/Salary,19,False
19,4502,Bachelors,Actuarial Science,67700,134400,101600.0,129200.0,144900.0,0.43,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Actuarial_Science/Salary,20,False
20,4503,Bachelors,Political Economy,65100,133500,96900.0,131100.0,,0.29,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Political_Economy/Salary,21,False
